[2024-12-02 18:26:41,938: INFO: main: LOgging is implemented]
[2024-12-03 08:17:03,892: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 08:17:03,908: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 08:17:03,912: INFO: common: created directory at: artifacts]
[2024-12-03 08:17:03,914: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-03 08:17:31,692: INFO: 227420655: File is downloaded]
[2024-12-03 08:33:54,748: INFO: main: stage Data Ingestion stage initiated]
[2024-12-03 08:33:54,750: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 08:33:54,751: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 08:33:54,751: INFO: common: created directory at: artifacts]
[2024-12-03 08:33:54,752: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-03 08:34:18,074: INFO: data_ingestion: File is downloaded]
[2024-12-03 08:34:18,292: INFO: main: Stage Data Ingestion stage Completed]
[2024-12-03 08:48:32,137: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-03 09:05:06,100: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 09:05:06,105: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 09:05:06,107: INFO: common: created directory at: artifacts]
[2024-12-03 09:05:06,108: INFO: common: created directory at: artifacts/data_transformation]
[2024-12-03 09:20:51,378: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-03 09:20:51,704: INFO: main: stage Data Ingestion stage initiated]
[2024-12-03 09:20:51,707: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 09:20:51,708: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 09:20:51,708: INFO: common: created directory at: artifacts]
[2024-12-03 09:20:51,708: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-03 09:20:51,709: INFO: data_ingestion: File already exits]
[2024-12-03 09:20:51,888: INFO: main: Stage Data Ingestion stage Completed]
[2024-12-03 09:20:51,888: INFO: main: stage Data Transformation stage initiated]
[2024-12-03 09:20:51,890: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 09:20:51,890: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 09:20:51,890: INFO: common: created directory at: artifacts]
[2024-12-03 09:20:51,890: INFO: common: created directory at: artifacts/data_transformation]
[2024-12-03 09:21:26,183: INFO: main: Stage Data Transformation stage Completed]
[2024-12-03 09:51:51,438: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-03 15:43:04,231: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-03 15:55:37,451: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 15:55:37,458: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 15:55:37,460: INFO: common: created directory at: artifacts]
[2024-12-03 15:55:37,462: INFO: common: created directory at: artifacts/model_evaluation]
[2024-12-03 16:01:51,268: INFO: rouge_scorer: Using default tokenizer.]
[2024-12-03 16:20:30,664: INFO: server: Started server process [7205]]
[2024-12-03 16:20:30,664: INFO: on: Waiting for application startup.]
[2024-12-03 16:20:30,665: INFO: on: Application startup complete.]
[2024-12-03 16:20:30,665: INFO: server: Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)]
[2024-12-03 16:22:49,064: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-03 16:22:49,068: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-03 16:22:49,069: INFO: common: created directory at: artifacts]
[2024-12-03 16:22:49,071: INFO: common: created directory at: artifacts/model_evaluation]
